ticker,p-value,h
AMNF,0.5918777532180234,0.7341553599320506
BHB,0.3912481174330633,0.4917931494712558
SRE,0.054051577458578984,0.6581621409390314
TXN,0.6226478889592925,0.7544558317704699
HUBB,0.12977348267966898,0.5729467917331206
WEC,0.18170889916851157,0.7066342200110886
WSM,0.20390960728990032,0.5261536809488363
CMI,0.45197257899665294,0.663966914375736
POR,0.34489428594987126,0.6603474672577975
SR,0.7894334303543833,0.6193795295167478
ACU,0.2860611705901088,0.5789313806956807
EAT,0.25143226477991565,0.5405868087994758
ES,0.08902844018475992,0.7034472577650124
LNT,0.319384500173395,0.7119556692465597
OZK,0.30336395364212243,0.5944717325266332
LMT,0.4237556611426786,0.7356086954040199
CCFN,0.9082962814370835,0.6025915795097397
NKSH,0.6626625466454952,0.5356133287654969
XEL,0.4072206546543272,0.7086243060143023
UNM,0.5404126739591941,0.6609827203511176
CZFS,0.6745113803681432,0.6495393695860413
BKUTK,0.6708686352617496,0.5754213059600257
AVA,0.6833230536467803,0.5935879228427435
MSM,0.3818122845303611,0.5565704173930297
ESS,0.28033855734368185,0.6344325380479899
AXS,0.4607716070564183,0.5161164970086507
BBY,0.36820165314570397,0.7370082104751526
AMP,0.20094088230950197,0.6540497435373208
HAS,0.5919753117605036,0.6079484875981285
CBRL,0.43504312653369315,0.5096339533101447
CMS,0.3486706652166519,0.7056666687780492
FAST,0.2667288702333689,0.6152454019558933
LYBC,0.19829923927634274,0.5655888641994774
SWX,0.7888477467065546,0.604479748562726
FFMR,0.7240828014632631,0.5213184862794591
NIDB,0.8141646397824673,0.6539725619180066
AUBN,0.11007003053290948,0.7068250837200205
NWFL,0.6272296955692995,0.6794745131257002
PII,0.49243609436517155,0.5168734437830846
AIZ,0.42319787102438944,0.6671434415372954
NEE,0.008539223236226185,0.8109332923907627
EVR,0.8139137903259912,0.6807279667382652
TIF,0.12750639869155445,0.62981433536239
NJR,0.8197596581961999,0.6157091610262275
NHC,0.2856472696274403,0.5612268810554584
BOKF,0.7791499906544663,0.6407191300714095
PB,0.5661091912450472,0.6164173910543949
TRV,0.6363580398322626,0.5847074887911615
CATC,0.6372339016000752,0.45321329574999997
RGCO,0.8829414217237355,0.6861541092067879
SXT,0.15732689019594392,0.5097298804678171
RBCAA,0.8251802513946553,0.6511723848463373
NUS,0.5095618597630914,0.6473650275329506
ELS,0.13351834071370672,0.7942133475907841
LECO,0.5005910364689123,0.6239890561687121
QNTO,0.02367720080403574,0.5482257129403906
HWKN,0.1073702907495564,0.49666897251413017
EBMT,0.7378920527706284,0.6812040240712284
YORW,0.07070503196642543,0.6408313116171347
ADI,0.5434228039034296,0.6860754855852988
UNP,0.33525798886965136,0.7192401882947539
RBA,0.18180375208212246,0.6061095758256075
IFF,0.16068553853742445,0.4777399503039844
ANDE,0.13351545324784303,0.5811879369723015
CHRW,0.5419356748932157,0.5119656997358509
WM,0.4061792972775893,0.7932782894258067
RTN,0.6033594279958863,0.7239195677799143
CMCSA,0.5201229194191129,0.6145065940549153
MCHP,0.43583845021872114,0.7064604308731072
RSG,0.4531369643876497,0.8054186789012907
HRS,0.6826482778350388,0.7895549861532533
AWK,0.4073945291101213,0.7599606868665246
MATW,0.4921201663911349,0.6499515951526222
KR,0.32858980941737187,0.5578268265926238
THG,0.43484150554882806,0.6880132670913454
HI,0.7107315090134241,0.6478352853981852
NOC,0.8485590456337821,0.7215026099273217
BR,0.7357319098329784,0.7467649321557095
RHI,0.4516751647881224,0.607995509929138
ABC,0.04197547239295477,0.4342584431198973
IPAR,0.5905434786479318,0.7530135056034586
ACN,0.5022675625775943,0.7172000261625393
CPK,0.8359652493545656,0.6263963393454501
EBTC,0.6017909278876634,0.5669001948819526
HONT,0.8038844847750093,0.5484777468024421
NEU,0.09281779932502526,0.5662931177616083
MSFT,0.01747055669395289,0.8548421636871509
HCSG,0.4412021773607946,0.6637844916621751
CNI,0.595429702652252,0.6573378035950485
RGA,0.8669881723999104,0.6845746531421941
CASS,0.35548515469498454,0.5638208085423632
AFG,0.8579963569605631,0.6975161202252591
XLNX,0.703865899268283,0.7289078933352995
SLGN,0.049942757077875315,0.5012548762610031
RGLD,0.39780415098359956,0.8006054526952228
RBC,0.12113481266395454,0.5354355553061882
FNV,0.09257623135780246,0.6608209815525955
ALB,0.8345325911830345,0.7245377077693896
WLK,0.6510363216953354,0.6812280644622865
FMAO,0.914100617642175,0.8083434791265581
CHD,0.6091584255990271,0.6571852150400104
MCK,0.6823284571293703,0.5266412541597502
LNN,0.07130460850447838,0.4856064382375066
PRGO,0.8689872768228741,0.7541674014283459
