Date,Open,High,Low,Close,Adj Close,Volume
2007-01-12,4.031320,4.122690,4.014710,4.117150,3.151591,50430363
2007-01-15,4.153140,4.200210,4.139300,4.164220,3.187622,78298970
2007-01-16,4.178060,4.214060,4.144840,4.144840,3.172787,93169318
2007-01-17,4.164220,4.180830,4.122690,4.139300,3.168546,44316745
2007-01-18,4.153140,4.172530,4.139300,4.147610,3.174907,39258393
2007-01-19,4.175290,4.333110,4.175290,4.330350,3.314791,219062731
2007-01-22,4.385720,4.407870,4.324810,4.341420,3.323265,105457649
2007-01-23,4.355260,4.421710,4.352500,4.374650,3.348701,94565186
2007-01-24,4.427250,4.460480,4.405100,4.454940,3.410162,90938108
2007-01-25,4.479860,4.532470,4.352500,4.402330,3.369890,222361872
2007-01-26,4.402330,4.493700,4.358030,4.493700,3.439832,129053001
2007-01-29,4.529700,4.626600,4.518620,4.623830,3.539444,154317048
2007-01-30,4.659830,4.659830,4.576770,4.632140,3.545805,119234158
2007-01-31,4.629370,4.643220,4.593380,4.604450,3.524609,80306812
2007-02-01,4.648750,4.723510,4.626600,4.706900,3.603032,116160540
2007-02-02,4.729050,4.776120,4.712430,4.748430,3.634822,109098878
2007-02-05,4.726280,4.742890,4.673670,4.723510,3.615746,69423039
2007-02-06,4.748430,4.773350,4.712430,4.726280,3.617867,68984432
2007-02-07,4.717970,4.723510,4.681980,4.704130,3.600912,54160238
2007-02-08,4.704130,4.717970,4.626600,4.634910,3.547925,74144577
2007-02-09,4.690280,4.767810,4.670900,4.762270,3.645417,83298643
2007-02-12,4.751200,4.812110,4.709670,4.748430,3.634822,110741110
2007-02-13,4.789960,4.795500,4.751200,4.773350,3.653898,49179902
2007-02-14,4.789960,4.897940,4.767810,4.897940,3.749269,92647637
2007-02-15,4.928400,4.997620,4.925630,4.986540,3.817091,158945374
2007-02-16,4.994850,5.044690,4.992080,5.039150,3.857363,100402226
2007-02-19,5.066840,5.147130,5.047460,5.147130,3.940018,111892057
2007-02-20,5.188660,5.205270,5.041920,5.113910,3.914590,179426433
2007-02-21,5.155440,5.180360,5.044690,5.069610,3.880679,155049721
2007-02-22,5.033610,5.091760,5.025310,5.052990,3.867956,97128533
2007-02-23,5.083450,5.088990,5.041920,5.047460,3.863724,47460705
2007-02-26,5.069610,5.191430,5.069610,5.166510,3.954853,108878765
2007-02-27,5.147130,5.147130,4.861950,4.911790,3.759870,221951696
2007-02-28,4.795500,5.030840,4.737350,4.961620,3.798015,291386535
2007-03-01,4.992080,5.052990,4.723510,4.787190,3.664492,290989336
2007-03-02,4.784420,4.845340,4.737350,4.789960,3.666613,205942504
2007-03-05,4.623830,4.687520,4.587840,4.637680,3.550046,206300874
2007-03-06,4.731820,4.878560,4.731820,4.878560,3.734434,246356352
2007-03-07,4.945010,4.950550,4.817650,4.900710,3.751390,194886914
